time	gasCreMean(2)	gasCreStd(3)	gasTotalMean(4)	gasTotalStd(5)	creMean(6)	creStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
3960	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4020	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4080	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4140	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4260	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4320	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4380	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4440	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4500	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4560	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4620	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4680	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4740	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4860	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4920	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
4980	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5040	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5100	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5160	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5220	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5280	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5340	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5460	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5520	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5580	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5640	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5700	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5760	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5820	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5880	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
5940	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6060	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6120	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6180	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6240	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6300	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6360	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6420	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6480	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6540	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6660	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6720	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6780	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6840	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6900	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
6960	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7020	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7080	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7140	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7260	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7320	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7380	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7440	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7500	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7560	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7620	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7680	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7740	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7860	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7920	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
7980	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8040	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8100	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8160	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8220	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8280	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8340	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8460	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8520	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8580	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8640	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8700	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8760	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8820	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8880	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
8940	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9060	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9120	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9180	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9240	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9300	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9360	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9420	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9480	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9540	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9660	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9720	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9780	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9840	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9900	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
9960	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10020	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10080	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10140	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10260	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10320	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10380	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10440	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10500	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10560	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10620	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10680	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10740	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10860	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10920	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
10980	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11040	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11100	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11160	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11220	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11280	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11340	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11460	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11520	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11580	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11640	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11700	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11760	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11820	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11880	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
11940	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12060	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12120	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12180	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12240	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12300	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12360	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12420	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12480	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12540	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12660	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12720	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12780	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12840	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12900	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
12960	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13020	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13080	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13140	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13260	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13320	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13380	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13440	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13500	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13560	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13620	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13680	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13740	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13860	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13920	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
13980	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14040	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14100	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14160	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14220	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14280	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14340	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14460	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14520	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14580	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14640	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14700	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14760	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14820	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14880	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
14940	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15060	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15120	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15180	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15240	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15300	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15360	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15420	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15480	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15540	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15660	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15720	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15780	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15840	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15900	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
15960	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16020	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16080	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16140	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16260	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16320	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16380	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16440	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16500	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16560	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16620	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16680	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16740	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16860	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16920	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
16980	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17040	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17100	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17160	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17220	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17280	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17340	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17400	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17460	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17520	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17580	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17640	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17700	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17760	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17820	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17880	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
17940	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18000	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18060	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18120	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18180	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18240	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18300	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18360	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18420	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18480	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18540	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18600	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18660	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18720	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18780	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18840	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18900	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
18960	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19020	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19080	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19140	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19200	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19260	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19320	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19380	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19440	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19500	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19560	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19620	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19680	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19740	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19800	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19860	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19920	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
19980	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
20040	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
20100	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0.0
